TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,BOROUGH
Condo for sale,1050000,4,2,2800,Brooklyn
Co-op for sale,419000,3,2,2184,Brooklyn
Co-op for sale,329000,1,1,850,Brooklyn
House for sale,750000,2,2,2184,Brooklyn
Co-op for sale,460000,1,1,950,Brooklyn
Condo for sale,3200000,3,3,1820,Brooklyn
Condo for sale,750000,2,2,732,Brooklyn
Co-op for sale,239000,1,1,670,Brooklyn
Co-op for sale,529000,2,2,1200,Brooklyn
Condo for sale,995000,4,2,1782,Brooklyn
Condo for sale,820000,1,2,788,Brooklyn
Condo for sale,1540000,3,3,1357,Brooklyn
Co-op for sale,635000,1,1,2184,Brooklyn
Condo for sale,1049000,3,1,897,Brooklyn
Co-op for sale,235000,1,1,675,Brooklyn
Condo for sale,680000,2,1,640,Brooklyn
Condo for sale,679000,2,2,879,Brooklyn
Co-op for sale,279000,2,1,1000,Brooklyn
Co-op for sale,179000,1,1,2184,Brooklyn
Co-op for sale,2995000,3,2,2184,Brooklyn
Co-op for sale,239000,2,1,950,Brooklyn
Contingent,1150000,2,1,1100,Brooklyn
Co-op for sale,349000,2,1,900,Brooklyn
Condo for sale,2000000,2,2,1441,Brooklyn
Condo for sale,695000,3,2,704,Brooklyn
Co-op for sale,429000,1,1,575,Brooklyn
Co-op for sale,235000,1,1,800,Brooklyn
Condo for sale,899000,2,1,1010,Brooklyn
Co-op for sale,280000,1,1,650,Brooklyn
Co-op for sale,875000,2,2,1275,Brooklyn
Co-op for sale,515000,2,2,1200,Brooklyn
Co-op for sale,355000,2,1,1000,Brooklyn
Co-op for sale,268800,1,1,725,Brooklyn
Condo for sale,640000,1,1,1022,Brooklyn
Condo for sale,640000,1,1,1022,Brooklyn
Condo for sale,628000,3,2,1097,Brooklyn
Co-op for sale,499000,1,1,800,Brooklyn
Co-op for sale,229000,3,1,500,Brooklyn
Condo for sale,3500000,3,2,1896,Brooklyn
Pending,1795000,2,2,2184,Brooklyn
Co-op for sale,440000,2,1,2184,Brooklyn
House for sale,600000,2,2,2184,Brooklyn
Condo for sale,888000,3,2,1700,Brooklyn
Co-op for sale,300000,1,1,800,Brooklyn
Condo for sale,250000,3,1,2184,Brooklyn
Co-op for sale,298000,1,1,790,Brooklyn
Pending,495000,2,2,1100,Brooklyn
Condo for sale,565000,1,1,804,Brooklyn
Pending,495000,2,2,1100,Brooklyn
Condo for sale,565000,1,1,804,Brooklyn
Co-op for sale,265000,1,1,765,Brooklyn
Co-op for sale,399000,2,1,960,Brooklyn
Co-op for sale,525000,3,2,2184,Brooklyn
Co-op for sale,479000,2,1,1100,Brooklyn
Condo for sale,420000,1,1,668,Brooklyn
Co-op for sale,249000,2,1,1000,Brooklyn
Condo for sale,7750000,5,6,3701,Brooklyn
Co-op for sale,275000,1,1,880,Brooklyn
Condo for sale,359000,2,1,920,Brooklyn
Condo for sale,2950000,3,2,1709,Brooklyn
Condo for sale,380000,3,1,393,Brooklyn
Condo for sale,380000,3,1,393,Brooklyn
Condo for sale,649000,3,2,1150,Brooklyn
Condo for sale,475000,1,1,739,Brooklyn
Pending,210000,1,1,850,Brooklyn
Condo for sale,399000,1,1,577,Brooklyn
Condo for sale,1090000,3,3,1295,Brooklyn
Co-op for sale,365000,2,1,925,Brooklyn
Pending,1099000,1,1,715,Brooklyn
Co-op for sale,473000,2,1,1000,Brooklyn
Co-op for sale,694000,2,1,2184,Brooklyn
Condo for sale,659000,2,1,714,Brooklyn
Co-op for sale,429000,2,1,850,Brooklyn
Condo for sale,1795000,2,2,1245,Brooklyn
Co-op for sale,800000,2,1,1200,Brooklyn
Condo for sale,1750000,2,2,1320,Brooklyn
Condo for sale,688000,3,2,982,Brooklyn
Condo for sale,874000,2,2,915,Brooklyn
Condo for sale,3000000,1,2,1600,Brooklyn
Condo for sale,1080000,1,2,941,Brooklyn
Condo for sale,2850000,3,2,1912,Brooklyn
Co-op for sale,245000,1,1,550,Brooklyn
Condo for sale,695000,2,2,1080,Brooklyn
Co-op for sale,199000,1,1,550,Brooklyn
Condo for sale,815000,2,2,1000,Brooklyn
Condo for sale,474000,2,1,750,Brooklyn
Co-op for sale,590000,2,1,800,Brooklyn
Condo for sale,695000,2,2,1080,Brooklyn
Condo for sale,800000,2,1,850,Brooklyn
Condo for sale,725000,1,1,696,Brooklyn
Co-op for sale,385000,1,1,2184,Brooklyn
Co-op for sale,280000,1,1,850,Brooklyn
Condo for sale,385000,2,1,919,Brooklyn
Co-op for sale,179000,1,1,600,Brooklyn
Co-op for sale,323000,1,1,800,Brooklyn
Co-op for sale,450000,2,1,1100,Brooklyn
Pending,1775000,2,2,2184,Brooklyn
Co-op for sale,265000,2,1,900,Brooklyn
Co-op for sale,398000,3,1,900,Brooklyn
Co-op for sale,999000,1,1,2184,Brooklyn
Co-op for sale,999000,1,1,2184,Brooklyn
Condo for sale,1695000,2,2,1035,Brooklyn
Condo for sale,610000,3,2,923,Brooklyn
Pending,450000,2,1,2184,Brooklyn
Condo for sale,1199000,2,1,1080,Brooklyn
Condo for sale,1350000,2,2,1066,Brooklyn
Co-op for sale,249000,2,1,830,Brooklyn
Condo for sale,479000,1,2,1096,Brooklyn
Condo for sale,1899000,3,2,1757,Brooklyn
Condo for sale,975000,2,2,930,Brooklyn
Condo for sale,460000,1,1,518,Brooklyn
Condo for sale,2695000,2,2,1927,Brooklyn
Co-op for sale,545000,1,1,1050,Brooklyn
Condo for sale,599000,1,1,935,Brooklyn
Co-op for sale,200000,1,1,700,Brooklyn
Co-op for sale,699000,2,2,1400,Brooklyn
Multi-family home for sale,3000000,24,16,12720,Brooklyn
Condo for sale,559000,1,1,579,Brooklyn
Co-op for sale,269000,1,1,700,Brooklyn
Condo for sale,838000,2,2,1054,Brooklyn
Pending,399000,1,1,775,Brooklyn
Co-op for sale,495000,2,1,900,Brooklyn
Pending,314000,1,1,875,Brooklyn
Co-op for sale,325000,1,1,775,Brooklyn
Condo for sale,759000,2,2,1230,Brooklyn
Condo for sale,1750000,2,2,2184,Brooklyn
Contingent,725000,3,1,2184,Brooklyn
Co-op for sale,249000,2,1,1000,Brooklyn
Condo for sale,1500000,1,2,1218,Brooklyn
Co-op for sale,325000,1,1,775,Brooklyn
Condo for sale,759000,2,2,1230,Brooklyn
Condo for sale,580000,2,1,667,Brooklyn
Condo for sale,375000,1,1,387,Brooklyn
Condo for sale,935000,1,1,713,Brooklyn
Co-op for sale,329000,2,1,950,Brooklyn
Multi-family home for sale,2100000,3,8,7984,Brooklyn
Pending,329000,2,2,1200,Brooklyn
Condo for sale,2395000,4,3,2155,Brooklyn
Condo for sale,780000,3,1,2184,Brooklyn
Condo for sale,1075000,2,2,1144,Brooklyn
Condo for sale,1075000,2,2,1144,Brooklyn
Condo for sale,750000,1,1,592,Brooklyn
Condo for sale,595000,1,1,556,Brooklyn
Co-op for sale,259000,1,1,570,Brooklyn
Condo for sale,749999,3,3,1602,Brooklyn
Co-op for sale,319000,1,1,750,Brooklyn
Condo for sale,1695000,3,2,1827,Brooklyn
Condo for sale,459000,1,1,548,Brooklyn
Condo for sale,989000,3,1,930,Brooklyn
Co-op for sale,225000,1,1,622,Brooklyn
Autre_Type,1499000,3,2,2184,Brooklyn
Pending,225000,3,1,2184,Brooklyn
Condo for sale,2800000,3,3,3341,Brooklyn
Co-op for sale,349999,2,1,873,Brooklyn
Condo for sale,815000,3,2,1039,Brooklyn
Co-op for sale,478000,1,1,750,Brooklyn
Condo for sale,534900,1,1,654,Brooklyn
Pending,1500000,3,2,2184,Brooklyn
Condo for sale,1650000,2,2,1168,Brooklyn
Condo for sale,1575000,1,2,1494,Brooklyn
Co-op for sale,399000,1,1,681,Brooklyn
Pending,700000,2,2,1110,Brooklyn
Co-op for sale,375000,1,1,920,Brooklyn
Condo for sale,849000,2,2,937,Brooklyn
Condo for sale,995000,1,1,971,Brooklyn
Co-op for sale,519000,2,1,1100,Brooklyn
Co-op for sale,519000,2,1,1100,Brooklyn
Condo for sale,995000,1,1,971,Brooklyn
Condo for sale,1195000,1,2,1330,Brooklyn
Condo for sale,995000,1,1,971,Brooklyn
Co-op for sale,189000,3,1,300,Brooklyn
Co-op for sale,370000,1,1,680,Brooklyn
Condo for sale,2500000,2,2,1111,Brooklyn
Co-op for sale,349000,1,1,750,Brooklyn
Co-op for sale,625000,3,1,652,Brooklyn
Condo for sale,615000,3,2,1165,Brooklyn
Condo for sale,429000,1,1,640,Brooklyn
Condo for sale,490000,1,1,730,Brooklyn
Condo for sale,5799000,3,4,2497,Brooklyn
Co-op for sale,265000,1,1,750,Bronx
Co-op for sale,368000,2,1,950,Queens
Condo for sale,699000,1,1,2184,Queens
Co-op for sale,538000,2,2,1200,Queens
Co-op for sale,299000,1,1,2184,Queens
Co-op for sale,599000,1,1,780,Brooklyn
Co-op for sale,985000,3,2,2184,Queens
House for sale,690000,5,2,4004,Brooklyn
Multi-family home for sale,848000,5,4,2080,Brooklyn
Multi-family home for sale,2150000,8,4,3200,Brooklyn
Multi-family home for sale,1200000,4,2,2536,Brooklyn
Multi-family home for sale,1999000,3,3,2739,Brooklyn
Condo for sale,1595000,3,3,1413,Brooklyn
Condo for sale,655000,3,2,803,Brooklyn
Autre_Type,2550000,3,2,2184,Brooklyn
House for sale,8750000,6,6,2184,Brooklyn
House for sale,595000,3,1,1316,Brooklyn
House for sale,314000,3,1,1572,Brooklyn
Autre_Type,649000,4,3,2184,Brooklyn
Pending,739000,6,4,2184,Brooklyn
House for sale,3950000,5,2,3528,Brooklyn
Pending,4800000,6,2,3958,Brooklyn
House for sale,400000,4,2,1980,Brooklyn
House for sale,400000,4,2,1980,Brooklyn
House for sale,275000,4,1,2184,Brooklyn
House for sale,1880000,3,4,3150,Brooklyn
Townhouse for sale,15000000,8,6,2184,Brooklyn
House for sale,675000,3,2,2400,Brooklyn
Townhouse for sale,2400000,4,2,1892,Brooklyn
House for sale,1649000,3,2,2052,Brooklyn
House for sale,1088888,3,4,1320,Brooklyn
Autre_Type,1695000,5,2,2250,Brooklyn
Townhouse for sale,1970000,4,4,2508,Brooklyn
House for sale,800000,3,2,825,Brooklyn
Autre_Type,2400000,6,6,6688,Brooklyn
Co-op for sale,459000,3,2,1250,Brooklyn
Multi-family home for sale,1499000,9,6,3519,Brooklyn
Multi-family home for sale,1499000,9,6,3519,Brooklyn
Condo for sale,839000,3,2,1376,Brooklyn
House for sale,615000,3,2,2184,Brooklyn
House for sale,1575000,3,2,2184,Brooklyn
Autre_Type,2700000,8,4,2184,Brooklyn
House for sale,550000,3,2,2184,Brooklyn
Multi-family home for sale,3000000,10,10,2184,Brooklyn
Townhouse for sale,2649000,5,4,4050,Brooklyn
Townhouse for sale,2649000,5,4,4050,Brooklyn
Multi-family home for sale,2600000,3,3,3978,Brooklyn
Multi-family home for sale,979000,8,3,2860,Brooklyn
Multi-family home for sale,1350000,6,3,3000,Brooklyn
Autre_Type,989000,7,3,2184,Brooklyn
Multi-family home for sale,1949000,3,5,2560,Brooklyn
Multi-family home for sale,900500,4,2,2184,Brooklyn
Multi-family home for sale,1350000,10,5,3383,Brooklyn
House for sale,799000,5,3,1800,Brooklyn
Multi-family home for sale,860000,5,3,2324,Brooklyn
Multi-family home for sale,1500000,8,3,3135,Brooklyn
Multi-family home for sale,1500000,3,2,2184,Brooklyn
Multi-family home for sale,2499000,5,4,1340,Brooklyn
Townhouse for sale,5295000,4,4,4600,Brooklyn
House for sale,600000,5,2,2184,Brooklyn
Autre_Type,650000,3,2,2184,Brooklyn
Multi-family home for sale,995000,5,2,2184,Brooklyn
Multi-family home for sale,995000,5,2,2184,Brooklyn
Autre_Type,2999950,3,2,2184,Brooklyn
Townhouse for sale,13995000,7,2,9026,Brooklyn
Autre_Type,6100000,3,2,2184,Brooklyn
Autre_Type,350000,3,2,2184,Brooklyn
Autre_Type,2500000,3,2,2184,Brooklyn
Autre_Type,350000,3,2,2184,Brooklyn
Autre_Type,3600000,3,2,2184,Brooklyn
House for sale,215000,4,2,2000,Brooklyn
Autre_Type,799999,3,2,2184,Brooklyn
Autre_Type,265000,3,2,2184,Brooklyn
Autre_Type,549000,3,2,2184,Brooklyn
Autre_Type,299000,3,2,2184,Brooklyn
House for sale,800000,3,2,1824,Brooklyn
Pending,675000,3,2,2184,Brooklyn
Multi-family home for sale,799900,5,2,1750,Brooklyn
House for sale,799000,3,2,1881,Brooklyn
House for sale,1188000,4,2,1580,Brooklyn
House for sale,460000,3,3,2256,Brooklyn
Multi-family home for sale,825000,12,6,2184,Brooklyn
House for sale,799999,3,2,1344,Brooklyn
Multi-family home for sale,1300000,15,6,4920,Brooklyn
House for sale,250000,3,1,1376,Brooklyn
House for sale,520000,4,2,1701,Brooklyn
Multi-family home for sale,849000,4,3,2184,Brooklyn
House for sale,699000,3,2,2350,Brooklyn
Pending,5895000,8,5,6312,Brooklyn
Multi-family home for sale,1250000,7,4,2184,Brooklyn
Townhouse for sale,1499999,4,2,2264,Brooklyn
Multi-family home for sale,1488000,6,2,2184,Brooklyn
House for sale,924900,3,2,1404,Brooklyn
Multi-family home for sale,1998000,12,8,5100,Brooklyn
House for sale,314900,3,3,1200,Brooklyn
Townhouse for sale,2200000,6,3,2385,Brooklyn
Multi-family home for sale,1188000,3,2,2240,Brooklyn
House for sale,210000,3,2,1840,Brooklyn
Multi-family home for sale,799000,6,2,2184,Brooklyn
Condo for sale,3795000,3,2,1887,Brooklyn
Multi-family home for sale,1650000,9,5,4320,Brooklyn
House for sale,1150000,3,2,1376,Brooklyn
Multi-family home for sale,300000,3,4,2184,Brooklyn
House for sale,950000,4,2,2200,Brooklyn
House for sale,950000,4,2,2200,Brooklyn
House for sale,1199000,4,2,2184,Brooklyn
House for sale,2150000,4,2,2184,Brooklyn
Multi-family home for sale,3000000,3,32,11760,Brooklyn
Multi-family home for sale,1498000,9,8,2961,Brooklyn
Townhouse for sale,14000000,5,2,7200,Brooklyn
House for sale,3999000,3,2,3428,Brooklyn
Autre_Type,499000,4,2,1428,Brooklyn
Multi-family home for sale,2295000,3,7,2184,Brooklyn
House for sale,8950000,4,2,2570,Brooklyn
Multi-family home for sale,999999,4,3,1980,Brooklyn
Multi-family home for sale,1499000,6,2,3144,Brooklyn
Townhouse for sale,950000,5,3,2288,Brooklyn
House for sale,650000,5,3,2184,Brooklyn
House for sale,1100000,4,3,1400,Brooklyn
House for sale,799000,3,2,2184,Brooklyn
Pending,2500000,3,2,2184,Brooklyn
Townhouse for sale,2600000,5,5,4057,Brooklyn
Pending,2500000,3,2,2184,Brooklyn
Multi-family home for sale,1288000,5,2,2375,Brooklyn
Townhouse for sale,575000,4,2,1330,Brooklyn
Multi-family home for sale,899999,8,4,2184,Brooklyn
House for sale,690000,3,2,1325,Brooklyn
House for sale,799000,4,3,2184,Brooklyn
Multi-family home for sale,1195000,16,8,2184,Brooklyn
Townhouse for sale,8750000,6,6,6000,Brooklyn
Multi-family home for sale,4380000,35,16,15000,Brooklyn
House for sale,779000,2,2,2184,Brooklyn
Multi-family home for sale,1880000,7,2,3240,Brooklyn
Condo for sale,649000,3,2,1400,Brooklyn
House for sale,999000,3,1,1392,Brooklyn
Co-op for sale,699000,1,1,2184,Brooklyn
Townhouse for sale,1290000,3,2,1998,Brooklyn
House for sale,428000,3,3,2184,Brooklyn
House for sale,835000,3,2,2184,Brooklyn
House for sale,1695000,5,3,2160,Brooklyn
House for sale,799000,3,2,2279,Brooklyn
Multi-family home for sale,750000,3,2,2184,Brooklyn
Multi-family home for sale,625000,5,2,2184,Brooklyn
Pending,1149000,5,4,2169,Brooklyn
Townhouse for sale,5495000,5,4,4296,Brooklyn
Townhouse for sale,10495000,7,4,5100,Brooklyn
Multi-family home for sale,989000,4,2,1827,Brooklyn
Townhouse for sale,7400000,4,2,3700,Brooklyn
Multi-family home for sale,499000,5,2,2184,Brooklyn
Pending,500000,5,3,2472,Brooklyn
House for sale,2750000,3,5,4600,Brooklyn
Co-op for sale,550000,2,1,2184,Brooklyn
Multi-family home for sale,788888,5,2,3443,Brooklyn
Pending,2288000,4,3,1788,Brooklyn
Townhouse for sale,4800000,10,4,5353,Brooklyn
Multi-family home for sale,799000,4,3,1344,Brooklyn
Multi-family home for sale,998000,11,6,2184,Brooklyn
Multi-family home for sale,2800000,16,16,10720,Brooklyn
House for sale,1175000,2,2,1144,Brooklyn
Multi-family home for sale,2999000,8,2,6000,Brooklyn
Pending,3850000,8,6,6200,Brooklyn
Multi-family home for sale,980000,4,3,1408,Brooklyn
Multi-family home for sale,1199000,4,2,1824,Brooklyn
Multi-family home for sale,699000,6,2,2184,Brooklyn
House for sale,998888,3,2,1780,Brooklyn
Multi-family home for sale,980000,3,4,2700,Brooklyn
House for sale,799000,3,2,1128,Brooklyn
House for sale,1250000,5,3,2295,Brooklyn
Townhouse for sale,2650000,5,4,4100,Brooklyn
House for sale,999000,3,2,1900,Brooklyn
Pending,4999999,4,4,4342,Brooklyn
Pending,800000,3,2,2184,Brooklyn
Townhouse for sale,10975000,3,4,2184,Brooklyn
House for sale,699999,4,2,2184,Brooklyn
Townhouse for sale,1499000,9,6,2184,Brooklyn
Townhouse for sale,2995000,4,6,2184,Brooklyn
Multi-family home for sale,560000,3,2,2184,Brooklyn
Townhouse for sale,2977000,4,4,2601,Brooklyn
House for sale,3500000,24,8,9500,Brooklyn
Contingent,999999,12,6,3900,Brooklyn
House for sale,1500000,3,3,2100,Brooklyn
House for sale,5600000,5,4,4959,Brooklyn
House for sale,780000,3,2,1320,Brooklyn
Condo for sale,649000,2,2,905,Brooklyn
Multi-family home for sale,1768888,10,10,3933,Brooklyn
Multi-family home for sale,11000000,50,50,22035,Brooklyn
Multi-family home for sale,799999,6,2,2184,Brooklyn
Multi-family home for sale,1300000,6,3,2184,Brooklyn
Multi-family home for sale,729000,3,3,1800,Brooklyn
House for sale,2250000,6,4,2184,Brooklyn
House for sale,1439000,6,4,1440,Brooklyn
Multi-family home for sale,625000,5,2,2184,Brooklyn
Townhouse for sale,1050000,4,1,2184,Brooklyn
House for sale,599000,3,2,2184,Brooklyn
House for sale,825000,2,2,1820,Brooklyn
Multi-family home for sale,599999,6,2,3490,Brooklyn
House for sale,649000,3,2,1064,Brooklyn
House for sale,899000,3,2,1324,Brooklyn
House for sale,1618000,5,2,2200,Brooklyn
Multi-family home for sale,1100000,5,3,1916,Brooklyn
House for sale,689000,2,2,750,Brooklyn
Townhouse for sale,3995000,5,6,2184,Brooklyn
Multi-family home for sale,850000,3,2,1600,Brooklyn
Multi-family home for sale,1550000,6,6,2184,Brooklyn
Multi-family home for sale,1358000,6,3,2184,Brooklyn
House for sale,1085000,5,3,1200,Brooklyn
Multi-family home for sale,680000,3,2,1535,Brooklyn
Multi-family home for sale,999000,5,3,2184,Brooklyn
Pending,1800000,7,4,2832,Brooklyn
Pending,1800000,7,4,2832,Brooklyn
Pending,7500000,3,4,3050,Brooklyn
Multi-family home for sale,1059000,6,3,2184,Brooklyn
Multi-family home for sale,1299999,8,4,3448,Brooklyn
House for sale,639000,2,2,862,Brooklyn
House for sale,1725000,3,2,1508,Brooklyn
House for sale,350000,3,2,1520,Brooklyn
Multi-family home for sale,580000,5,2,1780,Brooklyn
Townhouse for sale,5800000,7,5,6360,Brooklyn
Multi-family home for sale,725000,4,2,1700,Brooklyn
House for sale,1199000,4,1,1840,Brooklyn
Multi-family home for sale,888000,5,4,2184,Brooklyn
Multi-family home for sale,2489000,4,4,2334,Brooklyn
Multi-family home for sale,471300,4,2,2175,Brooklyn
House for sale,1089000,4,2,1720,Brooklyn
House for sale,1899000,7,4,2800,Brooklyn
Multi-family home for sale,2100000,20,8,7200,Brooklyn
House for sale,3200000,4,4,2950,Brooklyn
House for sale,1175000,3,2,1192,Brooklyn
Contingent,999999,3,2,1880,Brooklyn
House for sale,2950000,6,5,5436,Brooklyn
Condo for sale,530000,1,1,538,Brooklyn
House for sale,551000,3,2,2184,Brooklyn
House for sale,639000,3,2,2184,Brooklyn
Multi-family home for sale,3650000,4,4,2880,Brooklyn
Multi-family home for sale,681000,6,3,2184,Brooklyn
House for sale,800000,3,2,1224,Brooklyn
Multi-family home for sale,1850000,12,8,5250,Brooklyn
Multi-family home for sale,1850000,12,8,5250,Brooklyn
Townhouse for sale,5995000,6,4,4000,Brooklyn
House for sale,1848000,6,2,3676,Brooklyn
Multi-family home for sale,599000,5,2,2268,Brooklyn
Multi-family home for sale,1295000,3,2,2600,Brooklyn
Multi-family home for sale,1249000,5,3,1548,Brooklyn
Multi-family home for sale,999900,4,2,2024,Brooklyn
Condo for sale,2250000,2,2,1334,Brooklyn
Townhouse for sale,2050000,5,4,3000,Brooklyn
House for sale,1075000,6,2,2200,Brooklyn
House for sale,4995000,4,4,2184,Brooklyn
House for sale,898000,5,4,2828,Brooklyn
Multi-family home for sale,1848000,3,4,3640,Brooklyn
House for sale,2975000,3,2,2184,Brooklyn
House for sale,919000,3,2,1565,Brooklyn
House for sale,815599,3,2,2184,Brooklyn
Townhouse for sale,7750000,3,2,3375,Brooklyn
Multi-family home for sale,1998000,6,3,3192,Brooklyn
House for sale,1299000,4,2,2184,Brooklyn
Multi-family home for sale,1499000,5,2,2280,Brooklyn
House for sale,688000,3,2,1344,Brooklyn
Multi-family home for sale,679000,6,3,2184,Brooklyn
Co-op for sale,349000,1,1,800,Brooklyn
Multi-family home for sale,2999990,5,6,3600,Brooklyn
Co-op for sale,445000,3,2,1250,Brooklyn
Pending,999000,4,2,1957,Brooklyn
House for sale,650000,4,2,1482,Brooklyn
Multi-family home for sale,1699999,6,3,2754,Brooklyn
House for sale,575000,4,2,1604,Brooklyn
House for sale,575000,4,2,1604,Brooklyn
Townhouse for sale,2999999,4,3,2800,Brooklyn
Townhouse for sale,2025000,2,2,1500,Brooklyn
Townhouse for sale,2695000,3,2,1950,Brooklyn
Multi-family home for sale,1200000,7,2,2184,Brooklyn
House for sale,580000,6,3,2940,Brooklyn
Townhouse for sale,700000,4,2,2266,Brooklyn
House for sale,220000,3,2,1396,Brooklyn
Multi-family home for sale,1150000,12,6,4125,Brooklyn
House for sale,1148000,3,2,1890,Brooklyn
Co-op for sale,669000,3,2,1480,Brooklyn
House for sale,1375000,3,2,1960,Brooklyn
Multi-family home for sale,1200000,5,2,2184,Brooklyn
House for sale,988000,5,2,3244,Brooklyn
Multi-family home for sale,670000,3,2,2184,Brooklyn
House for sale,699000,3,2,1296,Brooklyn
Townhouse for sale,2450000,5,2,2982,Brooklyn
Townhouse for sale,6995000,4,4,3400,Brooklyn
House for sale,799000,3,2,2050,Brooklyn
Pending,2499000,6,2,4500,Brooklyn
Townhouse for sale,3700000,6,4,2400,Brooklyn
Multi-family home for sale,980000,6,3,2184,Brooklyn
Multi-family home for sale,1075000,7,3,2000,Brooklyn
Co-op for sale,349000,2,1,800,Brooklyn
House for sale,1099000,3,2,2700,Brooklyn
Co-op for sale,349000,2,1,800,Brooklyn
Townhouse for sale,6295000,4,4,4650,Brooklyn
Townhouse for sale,2250000,5,3,2105,Brooklyn
Multi-family home for sale,1899000,8,4,2184,Brooklyn
House for sale,897000,3,2,1664,Brooklyn
Multi-family home for sale,1100000,6,3,2184,Brooklyn
Townhouse for sale,1999000,5,4,3000,Brooklyn
House for sale,1250000,3,2,2110,Brooklyn
Townhouse for sale,9000000,5,4,17860,Brooklyn
Multi-family home for sale,1388888,6,3,2160,Brooklyn
House for sale,948000,4,2,1492,Brooklyn
Multi-family home for sale,950000,6,3,2184,Brooklyn
Townhouse for sale,2295000,5,4,4043,Brooklyn
House for sale,635000,3,2,1200,Brooklyn
Multi-family home for sale,999000,3,6,2184,Brooklyn
